year,tmID,rank,playoff,homeW,homeL,awayW,awayL,confW,confL,min,attend,num_playoff_appearances,total_first_round_won,total_first_round_lost,total_semis_won,total_semis_lost,total_finals_won,total_finals_lost,mean_won,mean_lost,confID_EA,confID_WE,GP,GS,minutes,oRebounds,dRebounds,dq,PostGP,PostGS,PostMinutes,PostoRebounds,PostdRebounds,performance,Postperformance,points_attempted,Postpoints_attempted,PostDQ,height,weight,award_count_x,won,lost,post_wins,post_losses,award_count_y
1,CHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,CLE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,HOU,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,LAS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,NYL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ORL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,PHO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,POR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,SAC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,UTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,WAS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,CHA,8.0,1.0,5.0,11.0,3.0,13.0,5.0,16.0,6475.0,90963.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,24.0,1.0,0.0,28.88888888888889,13.555555555555555,636.5555555555555,24.333333333333332,54.111111111111114,0.6666666666666666,1.3333333333333333,0.4444444444444444,20.22222222222222,1.3333333333333333,2.111111111111111,297.79999999999995,69.19999999999999,445.55555555555554,104.33333333333333,0.0,71.33333333333333,157.1263616557734,0.0,9.0,23.0,0.0,0.0,0.0
2,CLE,2.0,1.0,13.0,3.0,4.0,12.0,13.0,8.0,6500.0,137532.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,17.0,15.0,1.0,0.0,24.76923076923077,10.0,483.15384615384613,25.46153846153846,46.38461538461539,0.5384615384615384,4.384615384615385,1.8461538461538463,81.38461538461539,5.3076923076923075,9.461538461538462,214.92307692307693,20.153846153846153,292.6923076923077,25.615384615384617,0.0,71.53846153846153,168.53846153846155,0.0,17.0,15.0,3.0,3.0,0.0
2,DET,5.0,0.0,8.0,8.0,6.0,10.0,10.0,11.0,6425.0,107289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,18.0,1.0,0.0,28.571428571428573,21.428571428571427,688.5714285714286,37.714285714285715,68.14285714285714,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,329.8,0.0,493.85714285714283,0.0,0.0,71.85714285714286,166.85714285714286,0.0,0.0,0.0,0.0,0.0,0.0
2,HOU,2.0,1.0,14.0,2.0,13.0,3.0,17.0,4.0,6475.0,196077.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,27.0,5.0,0.0,1.0,25.714285714285715,13.428571428571429,507.42857142857144,28.857142857142858,61.714285714285715,0.2857142857142857,4.428571428571429,2.5714285714285716,108.28571428571429,6.857142857142857,12.0,370.85714285714283,20.857142857142858,548.4285714285714,34.714285714285715,0.0,72.42857142857143,161.01960784313724,0.2857142857142857,27.0,5.0,6.0,0.0,0.0
2,IND,7.0,0.0,5.0,11.0,4.0,12.0,7.0,14.0,6425.0,180270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,23.0,1.0,0.0,29.4,14.0,621.9,28.2,62.5,0.9,0.6,0.1,6.9,0.5,1.0,246.48000000000002,0.0,363.9,0.0,0.0,71.8,166.6,0.0,0.0,0.0,0.0,0.0,0.0
2,LAS,1.0,1.0,15.0,1.0,13.0,3.0,17.0,4.0,6450.0,105005.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,28.0,4.0,0.0,1.0,30.11111111111111,21.0,742.6666666666666,38.111111111111114,97.55555555555556,1.7777777777777777,3.2222222222222223,2.2222222222222223,79.11111111111111,4.444444444444445,9.222222222222221,424.64444444444445,97.48888888888888,552.5555555555555,122.66666666666667,0.1111111111111111,71.66666666666667,165.66666666666666,0.0,28.0,4.0,2.0,2.0,1.0
2,MIA,6.0,1.0,9.0,7.0,4.0,12.0,9.0,12.0,6475.0,127721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,19.0,1.0,0.0,28.625,20.0625,669.3125,36.6875,61.9375,0.375,0.0,0.0,0.0,0.0,0.0,217.22500000000002,12.05,296.75,20.5,0.0,70.875,154.625,0.0,13.0,19.0,0.0,0.0,0.0
2,MIN,6.0,0.0,8.0,8.0,7.0,9.0,5.0,16.0,6425.0,116638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,0.0,1.0,29.0,12.857142857142858,545.5714285714286,21.857142857142858,47.42857142857143,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,259.77142857142854,0.0,424.85714285714283,0.0,0.0,72.28571428571429,173.42857142857142,0.14285714285714285,15.0,17.0,0.0,0.0,0.0
